275,"170726153816","Time",0
276,.256,"mS        ",1
277,11.8,"DEGREE C  ",2
278,"170726153818","Time",0
279,.249,"mS        ",1
280,11.8,"DEGREE C  ",2
281,"170726153820","Time",0
282,.243,"mS        ",1
283,11.8,"DEGREE C  ",2
284,"170726153822","Time",0
285,.238,"mS        ",1
286,11.8,"DEGREE C  ",2
287,"170726153824","Time",0
288,.234,"mS        ",1
289,11.8,"DEGREE C  ",2
290,"170726153826","Time",0
291,.23,"mS        ",1
292,11.8,"DEGREE C  ",2
293,"170726153828","Time",0
294,.226,"mS        ",1
295,11.8,"DEGREE C  ",2
296,"170726153830","Time",0
297,.223,"mS        ",1
298,11.8,"DEGREE C  ",2
299,"170726153832","Time",0
300,.22,"mS        ",1
301,11.8,"DEGREE C  ",2
302,"170726153834","Time",0
303,.22,"mS        ",1
304,11.8,"DEGREE C  ",2
305,"170726153836","Time",0
306,.217,"mS        ",1
307,11.8,"DEGREE C  ",2
308,"170726153838","Time",0
309,.215,"mS        ",1
310,11.8,"DEGREE C  ",2
311,"170726153840","Time",0
312,.213,"mS        ",1
313,11.8,"DEGREE C  ",2
314,"170726153842","Time",0
315,.211,"mS        ",1
316,11.9,"DEGREE C  ",2
317,"170726153844","Time",0
318,.209,"mS        ",1
319,11.8,"DEGREE C  ",2
320,"170726153846","Time",0
321,.207,"mS        ",1
322,11.9,"DEGREE C  ",2
323,"170726153848","Time",0
324,.205,"mS        ",1
325,11.9,"DEGREE C  ",2
326,"170726153850","Time",0
327,.204,"mS        ",1
328,11.9,"DEGREE C  ",2
329,"170726153852","Time",0
330,.202,"mS        ",1
331,11.9,"DEGREE C  ",2
332,"170726153854","Time",0
333,.202,"mS        ",1
334,11.9,"DEGREE C  ",2
335,"170726153856","Time",0
336,.202,"mS        ",1
337,11.8,"DEGREE C  ",2
338,"170726153858","Time",0
339,.2,"mS        ",1
340,11.9,"DEGREE C  ",2
341,"170726153900","Time",0
342,.2,"mS        ",1
343,11.9,"DEGREE C  ",2
344,"170726153902","Time",0
345,.199,"mS        ",1
346,11.9,"DEGREE C  ",2
347,"170726153904","Time",0
348,.199,"mS        ",1
349,11.9,"DEGREE C  ",2
350,"170726153906","Time",0
351,.198,"mS        ",1
352,11.9,"DEGREE C  ",2
353,"170726153908","Time",0
354,.197,"mS        ",1
355,11.9,"DEGREE C  ",2
356,"170726153910","Time",0
357,.196,"mS        ",1
358,11.9,"DEGREE C  ",2
359,"170726153912","Time",0
360,.194,"mS        ",1
361,11.9,"DEGREE C  ",2
362,"170726153914","Time",0
363,.194,"mS        ",1
364,11.9,"DEGREE C  ",2
365,"170726153916","Time",0
366,.194,"mS        ",1
367,11.9,"DEGREE C  ",2
368,"170726153918","Time",0
369,.193,"mS        ",1
370,11.9,"DEGREE C  ",2
371,"170726153920","Time",0
372,.192,"mS        ",1
373,11.9,"DEGREE C  ",2
374,"170726153922","Time",0
375,.193,"mS        ",1
376,11.9,"DEGREE C  ",2
377,"170726153924","Time",0
378,.191,"mS        ",1
379,11.9,"DEGREE C  ",2
380,"170726153926","Time",0
381,.191,"mS        ",1
382,11.9,"DEGREE C  ",2
383,"170726153928","Time",0
384,.191,"mS        ",1
385,11.9,"DEGREE C  ",2
386,"170726153930","Time",0
387,.19,"mS        ",1
388,11.9,"DEGREE C  ",2
389,"170726153932","Time",0
390,.19,"mS        ",1
391,11.9,"DEGREE C  ",2
392,"170726153934","Time",0
393,.189,"mS        ",1
394,11.9,"DEGREE C  ",2
395,"170726153936","Time",0
396,.188,"mS        ",1
397,11.9,"DEGREE C  ",2
398,"170726153938","Time",0
399,.186,"mS        ",1
400,11.9,"DEGREE C  ",2
401,"170726153940","Time",0
402,.184,"mS        ",1
403,11.9,"DEGREE C  ",2
404,"170726153942","Time",0
405,.184,"mS        ",1
406,11.9,"DEGREE C  ",2
407,"170726153944","Time",0
408,.183,"mS        ",1
409,11.9,"DEGREE C  ",2
410,"170726153946","Time",0
411,.183,"mS        ",1
412,11.9,"DEGREE C  ",2
413,"170726153948","Time",0
414,.183,"mS        ",1
415,11.9,"DEGREE C  ",2
416,"170726153950","Time",0
417,.181,"mS        ",1
418,11.9,"DEGREE C  ",2
419,"170726153952","Time",0
420,.181,"mS        ",1
421,11.9,"DEGREE C  ",2
422,"170726153954","Time",0
423,.181,"mS        ",1
424,11.9,"DEGREE C  ",2
425,"170726153956","Time",0
426,.181,"mS        ",1
427,11.9,"DEGREE C  ",2
428,"170726153958","Time",0
429,.18,"mS        ",1
430,11.9,"DEGREE C  ",2
431,"170726154000","Time",0
432,.179,"mS        ",1
433,11.8,"DEGREE C  ",2
434,"170726154002","Time",0
435,.178,"mS        ",1
436,11.8,"DEGREE C  ",2
437,"170726154004","Time",0
438,.177,"mS        ",1
439,11.8,"DEGREE C  ",2
440,"170726154006","Time",0
441,.177,"mS        ",1
442,11.8,"DEGREE C  ",2
443,"170726154008","Time",0
444,.177,"mS        ",1
445,11.8,"DEGREE C  ",2
446,"170726154010","Time",0
447,.177,"mS        ",1
448,11.8,"DEGREE C  ",2
449,"170726154012","Time",0
450,.177,"mS        ",1
451,11.8,"DEGREE C  ",2
452,"170726154014","Time",0
453,.177,"mS        ",1
454,11.8,"DEGREE C  ",2
455,"170726154016","Time",0
456,.176,"mS        ",1
457,11.8,"DEGREE C  ",2
458,"170726154018","Time",0
459,.175,"mS        ",1
460,11.8,"DEGREE C  ",2
461,"170726154020","Time",0
462,.174,"mS        ",1
463,11.9,"DEGREE C  ",2
464,"170726154022","Time",0
465,.172,"mS        ",1
466,11.9,"DEGREE C  ",2
467,"170726154024","Time",0
468,.172,"mS        ",1
469,11.9,"DEGREE C  ",2
470,"170726154026","Time",0
471,.171,"mS        ",1
472,11.9,"DEGREE C  ",2
473,"170726154028","Time",0
474,.17,"mS        ",1
475,11.9,"DEGREE C  ",2
476,"170726154030","Time",0
477,.17,"mS        ",1
478,11.8,"DEGREE C  ",2
479,"170726154032","Time",0
480,.17,"mS        ",1
481,11.9,"DEGREE C  ",2
482,"170726154034","Time",0
483,.169,"mS        ",1
484,11.9,"DEGREE C  ",2
485,"170726154036","Time",0
486,.169,"mS        ",1
487,11.8,"DEGREE C  ",2
488,"170726154038","Time",0
489,.169,"mS        ",1
490,11.9,"DEGREE C  ",2
491,"170726154040","Time",0
492,.169,"mS        ",1
493,11.8,"DEGREE C  ",2
494,"170726154042","Time",0
495,.169,"mS        ",1
496,11.9,"DEGREE C  ",2
