Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/19/2016 4:15:00 PM  ,   83700.000,                        11.312,                        10.786,
9/19/2016 4:30:00 PM  ,   84600.000,                        11.307,                        10.631,
9/19/2016 4:45:00 PM  ,   85500.000,                        11.304,                        10.580,
9/19/2016 5:00:00 PM  ,   86400.000,                        11.303,                        10.528,
9/19/2016 5:15:00 PM  ,   87300.000,                        11.306,                        10.425,
9/19/2016 5:30:00 PM  ,   88200.000,                        11.306,                        10.322,
9/19/2016 5:45:00 PM  ,   89100.000,                        11.306,                        10.270,
9/19/2016 6:00:00 PM  ,   90000.000,                        11.305,                        10.219,
9/19/2016 6:15:00 PM  ,   90900.000,                        11.302,                        10.115,
9/19/2016 6:30:00 PM  ,   91800.000,                        11.304,                        10.064,
9/19/2016 6:45:00 PM  ,   92700.000,                        11.309,                        10.012,
9/19/2016 7:00:00 PM  ,   93600.000,                        11.308,                         9.960,
9/19/2016 7:15:00 PM  ,   94500.000,                        11.312,                         9.857,
9/19/2016 7:30:00 PM  ,   95400.000,                        11.317,                         9.857,
9/19/2016 7:45:00 PM  ,   96300.000,                        11.317,                         9.805,
9/19/2016 8:00:00 PM  ,   97200.000,                        11.321,                         9.702,
9/19/2016 8:15:00 PM  ,   98100.000,                        11.319,                         9.650,
9/19/2016 8:30:00 PM  ,   99000.000,                        11.319,                         9.650,
9/19/2016 8:45:00 PM  ,   99900.000,                        11.323,                         9.598,
9/19/2016 9:00:00 PM  ,  100800.000,                        11.332,                         9.547,
9/19/2016 9:15:00 PM  ,  101700.000,                        11.328,                         9.495,
9/19/2016 9:30:00 PM  ,  102600.000,                        11.335,                         9.391,
9/19/2016 9:45:00 PM  ,  103500.000,                        11.333,                         9.339,
9/19/2016 10:00:00 PM ,  104400.000,                        11.331,                         9.288,
9/19/2016 10:15:00 PM ,  105300.000,                        11.336,                         9.236,
9/19/2016 10:30:00 PM ,  106200.000,                        11.336,                         9.184,
9/19/2016 10:45:00 PM ,  107100.000,                        11.331,                         9.132,
9/19/2016 11:00:00 PM ,  108000.000,                        11.331,                         9.132,
9/19/2016 11:15:00 PM ,  108900.000,                        11.332,                         9.028,
9/19/2016 11:30:00 PM ,  109800.000,                        11.331,                         8.976,
9/19/2016 11:45:00 PM ,  110700.000,                        11.332,                         8.924,
9/20/2016 12:00:00 AM ,  111600.000,                        11.331,                         8.873,
9/20/2016 12:15:00 AM ,  112500.000,                        11.331,                         8.873,
9/20/2016 12:30:00 AM ,  113400.000,                        11.328,                         8.821,
9/20/2016 12:45:00 AM ,  114300.000,                        11.330,                         8.769,
9/20/2016 1:00:00 AM  ,  115200.000,                        11.330,                         8.717,
9/20/2016 1:15:00 AM  ,  116100.000,                        11.329,                         8.717,
9/20/2016 1:30:00 AM  ,  117000.000,                        11.323,                         8.665,
9/20/2016 1:45:00 AM  ,  117900.000,                        11.327,                         8.613,
9/20/2016 2:00:00 AM  ,  118800.000,                        11.326,                         8.613,
9/20/2016 2:15:00 AM  ,  119700.000,                        11.327,                         8.561,
9/20/2016 2:30:00 AM  ,  120600.000,                        11.323,                         8.561,
