Report Date:,2/19/2019 3:33:35 PM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,Hourly_dry_stage_103118_2019-02-14_13-59-31-569.wsl
Create Date,2/14/2019 1:59:27 PM

Device Properties
Device,Rugged TROLL 100
Site,Dry_Creek
Device Name, 
Serial Number,351998
Firmware Version,1.02
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,40

Log Configuration
,Log Name,Hourly_dry_stage_103118
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,10/31/2018 2:14:34 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,10/31/2018 3:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00





Other Log Settings
,Depth of Probe:,25.6304 (ft)
,Head Pressure:,11.1004 (PSI)
,Temperature:,5.78499 (C)



Log Notes:
Date and Time,Note
10/31/2018 3:19:54 PM ,Used Battery: 40% Used Memory: 6%   User Name: fieldtech
2/14/2019 3:06:04 PM  ,Log Download - Used Battery: 43% Used Memory: 6%   User Name: fieldtech


Log Data:
Record Count,2544

Sensors,1

 ,1,351998,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,
,Elapsed Time,SN#: 351998                   ,SN#: 351998                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
11/4/2018 5:19:53 AM  ,  309600.000,                        11.174,                         3.452,
11/4/2018 6:19:53 AM  ,  313200.000,                        11.160,                         3.452,
11/4/2018 7:19:53 AM  ,  316800.000,                        11.149,                         3.505,
11/4/2018 8:19:53 AM  ,  320400.000,                        11.151,                         3.558,
11/4/2018 9:19:53 AM  ,  324000.000,                        11.148,                         3.665,
11/4/2018 10:19:53 AM ,  327600.000,                        11.144,                         3.771,
11/4/2018 11:19:53 AM ,  331200.000,                        11.130,                         3.825,
11/4/2018 12:19:53 PM ,  334800.000,                        11.118,                         4.091,
11/4/2018 1:19:53 PM  ,  338400.000,                        11.092,                         4.250,
11/4/2018 2:19:53 PM  ,  342000.000,                        11.084,                         4.303,
11/4/2018 3:19:53 PM  ,  345600.000,                        11.054,                         4.144,
11/4/2018 4:19:53 PM  ,  349200.000,                        11.055,                         3.931,
11/4/2018 5:19:53 PM  ,  352800.000,                        11.045,                         3.878,
11/4/2018 6:19:53 PM  ,  356400.000,                        11.048,                         3.825,
11/4/2018 7:19:53 PM  ,  360000.000,                        11.065,                         3.825,
11/4/2018 8:19:53 PM  ,  363600.000,                        11.059,                         3.878,
11/4/2018 9:19:53 PM  ,  367200.000,                        11.071,                         3.878,
11/4/2018 10:19:53 PM ,  370800.000,                        11.066,                         3.878,
11/4/2018 11:19:53 PM ,  374400.000,                        11.062,                         3.825,
11/5/2018 12:19:53 AM ,  378000.000,                        11.074,                         3.825,
11/5/2018 1:19:53 AM  ,  381600.000,                        11.072,                         3.878,
11/5/2018 2:19:53 AM  ,  385200.000,                        11.081,                         3.771,
11/5/2018 3:19:53 AM  ,  388800.000,                        11.082,                         3.665,
11/5/2018 4:19:53 AM  ,  392400.000,                        11.090,                         3.771,
11/5/2018 5:19:53 AM  ,  396000.000,                        11.096,                         3.718,
11/5/2018 6:19:53 AM  ,  399600.000,                        11.097,                         3.665,
11/5/2018 7:19:53 AM  ,  403200.000,                        11.102,                         3.665,
11/5/2018 8:19:53 AM  ,  406800.000,                        11.107,                         3.558,
11/5/2018 9:19:53 AM  ,  410400.000,                        11.114,                         3.665,
11/5/2018 10:19:53 AM ,  414000.000,                        11.113,                         3.612,
11/5/2018 11:19:53 AM ,  417600.000,                        11.120,                         3.878,
11/5/2018 12:19:53 PM ,  421200.000,                        11.117,                         4.197,
11/5/2018 1:19:53 PM  ,  424800.000,                        11.114,                         4.356,
11/5/2018 2:19:53 PM  ,  428400.000,                        11.117,                         4.144,
11/5/2018 3:19:53 PM  ,  432000.000,                        11.118,                         4.197,
11/5/2018 4:19:53 PM  ,  435600.000,                        11.121,                         3.718,
11/5/2018 5:19:53 PM  ,  439200.000,                        11.124,                         3.771,
11/5/2018 6:19:53 PM  ,  442800.000,                        11.124,                         3.665,
11/5/2018 7:19:53 PM  ,  446400.000,                        11.127,                         3.612,
11/5/2018 8:19:53 PM  ,  450000.000,                        11.131,                         3.558,
11/5/2018 9:19:53 PM  ,  453600.000,                        11.136,                         3.398,
11/5/2018 10:19:53 PM ,  457200.000,                        11.136,                         3.345,
11/5/2018 11:19:53 PM ,  460800.000,                        11.141,                         3.292,
11/6/2018 12:19:53 AM ,  464400.000,                        11.146,                         3.238,
11/6/2018 1:19:53 AM  ,  468000.000,                        11.145,                         3.131,
11/6/2018 2:19:53 AM  ,  471600.000,                        11.146,                         3.078,
11/6/2018 3:19:53 AM  ,  475200.000,                        11.146,                         3.078,
11/6/2018 4:19:53 AM  ,  478800.000,                        11.152,                         2.971,
11/6/2018 5:19:53 AM  ,  482400.000,                        11.156,                         3.025,
11/6/2018 6:19:53 AM  ,  486000.000,                        11.159,                         2.971,
11/6/2018 7:19:53 AM  ,  489600.000,                        11.157,                         2.918,
11/6/2018 8:19:53 AM  ,  493200.000,                        11.165,                         2.971,
11/6/2018 9:19:53 AM  ,  496800.000,                        11.172,                         2.971,
11/6/2018 10:19:53 AM ,  500400.000,                        11.171,                         3.131,
11/6/2018 11:19:53 AM ,  504000.000,                        11.180,                         3.452,
11/6/2018 12:19:53 PM ,  507600.000,                        11.178,                         3.612,
11/6/2018 1:19:53 PM  ,  511200.000,                        11.175,                         3.558,
11/6/2018 2:19:53 PM  ,  514800.000,                        11.182,                         3.398,
11/6/2018 3:19:53 PM  ,  518400.000,                        11.184,                         3.505,
11/6/2018 4:19:53 PM  ,  522000.000,                        11.189,                         3.505,
11/6/2018 5:19:53 PM  ,  525600.000,                        11.192,                         3.345,
11/6/2018 6:19:53 PM  ,  529200.000,                        11.196,                         3.131,
11/6/2018 7:19:53 PM  ,  532800.000,                        11.199,                         2.971,
11/6/2018 8:19:53 PM  ,  536400.000,                        11.209,                         2.811,
11/6/2018 9:19:53 PM  ,  540000.000,                        11.212,                         2.704,
11/6/2018 10:19:53 PM ,  543600.000,                        11.216,                         2.543,
11/6/2018 11:19:53 PM ,  547200.000,                        11.221,                         2.436,
11/7/2018 12:19:53 AM ,  550800.000,                        11.222,                         2.596,
11/7/2018 1:19:53 AM  ,  554400.000,                        11.217,                         2.704,
11/7/2018 2:19:53 AM  ,  558000.000,                        11.215,                         2.811,
11/7/2018 3:19:53 AM  ,  561600.000,                        11.222,                         2.596,
11/7/2018 4:19:53 AM  ,  565200.000,                        11.218,                         2.436,
11/7/2018 5:19:53 AM  ,  568800.000,                        11.218,                         2.382,
11/7/2018 6:19:53 AM  ,  572400.000,                        11.213,                         2.275,
11/7/2018 7:19:53 AM  ,  576000.000,                        11.215,                         2.221,
11/7/2018 8:19:53 AM  ,  579600.000,                        11.217,                         2.167,
11/7/2018 9:19:53 AM  ,  583200.000,                        11.222,                         2.650,
11/7/2018 10:19:53 AM ,  586800.000,                        11.215,                         3.025,
11/7/2018 11:19:53 AM ,  590400.000,                        11.213,                         3.185,
11/7/2018 12:19:53 PM ,  594000.000,                        11.208,                         3.505,
11/7/2018 1:19:53 PM  ,  597600.000,                        11.198,                         3.238,
11/7/2018 2:19:53 PM  ,  601200.000,                        11.193,                         3.131,
11/7/2018 3:19:53 PM  ,  604800.000,                        11.192,                         3.078,
11/7/2018 4:19:53 PM  ,  608400.000,                        11.186,                         3.131,
11/7/2018 5:19:53 PM  ,  612000.000,                        11.191,                         3.131,
11/7/2018 6:19:53 PM  ,  615600.000,                        11.198,                         3.078,
11/7/2018 7:19:53 PM  ,  619200.000,                        11.205,                         3.078,
11/7/2018 8:19:53 PM  ,  622800.000,                        11.207,                         2.864,
11/7/2018 9:19:53 PM  ,  626400.000,                        11.212,                         2.596,
11/7/2018 10:19:53 PM ,  630000.000,                        11.213,                         2.382,
11/7/2018 11:19:53 PM ,  633600.000,                        11.214,                         2.221,
11/8/2018 12:19:53 AM ,  637200.000,                        11.211,                         2.221,
11/8/2018 1:19:53 AM  ,  640800.000,                        11.206,                         2.167,
11/8/2018 2:19:53 AM  ,  644400.000,                        11.208,                         2.328,
11/8/2018 3:19:53 AM  ,  648000.000,                        11.202,                         2.328,
11/8/2018 4:19:53 AM  ,  651600.000,                        11.201,                         2.328,
11/8/2018 5:19:53 AM  ,  655200.000,                        11.205,                         2.328,
11/8/2018 6:19:53 AM  ,  658800.000,                        11.207,                         2.436,
11/8/2018 7:19:53 AM  ,  662400.000,                        11.208,                         2.328,
11/8/2018 8:19:53 AM  ,  666000.000,                        11.215,                         2.382,
11/8/2018 9:19:53 AM  ,  669600.000,                        11.219,                         2.382,
11/8/2018 10:19:53 AM ,  673200.000,                        11.221,                         2.704,
11/8/2018 11:19:53 AM ,  676800.000,                        11.233,                         3.185,
11/8/2018 12:19:53 PM ,  680400.000,                        11.237,                         3.238,
11/8/2018 1:19:53 PM  ,  684000.000,                        11.233,                         3.131,
11/8/2018 2:19:53 PM  ,  687600.000,                        11.229,                         2.918,
11/8/2018 3:19:53 PM  ,  691200.000,                        11.225,                         2.650,
11/8/2018 4:19:53 PM  ,  694800.000,                        11.229,                         2.543,
11/8/2018 5:19:53 PM  ,  698400.000,                        11.233,                         2.489,
11/8/2018 6:19:53 PM  ,  702000.000,                        11.240,                         2.436,
11/8/2018 7:19:53 PM  ,  705600.000,                        11.238,                         2.328,
11/8/2018 8:19:53 PM  ,  709200.000,                        11.246,                         2.275,
11/8/2018 9:19:53 PM  ,  712800.000,                        11.246,                         2.221,
11/8/2018 10:19:53 PM ,  716400.000,                        11.248,                         2.221,
11/8/2018 11:19:53 PM ,  720000.000,                        11.245,                         2.275,
11/9/2018 12:19:53 AM ,  723600.000,                        11.242,                         2.328,
11/9/2018 1:19:53 AM  ,  727200.000,                        11.253,                         2.275,
11/9/2018 2:19:53 AM  ,  730800.000,                        11.248,                         2.328,
11/9/2018 3:19:53 AM  ,  734400.000,                        11.253,                         2.328,
11/9/2018 4:19:53 AM  ,  738000.000,                        11.254,                         2.328,
11/9/2018 5:19:53 AM  ,  741600.000,                        11.251,                         2.221,
11/9/2018 6:19:53 AM  ,  745200.000,                        11.268,                         2.221,
11/9/2018 7:19:53 AM  ,  748800.000,                        11.274,                         2.221,
11/9/2018 8:19:53 AM  ,  752400.000,                        11.276,                         2.221,
11/9/2018 9:19:53 AM  ,  756000.000,                        11.274,                         2.382,
11/9/2018 10:19:53 AM ,  759600.000,                        11.274,                         2.811,
11/9/2018 11:19:53 AM ,  763200.000,                        11.281,                         3.078,
11/9/2018 12:19:53 PM ,  766800.000,                        11.270,                         3.345,
11/9/2018 1:19:53 PM  ,  770400.000,                        11.261,                         3.505,
11/9/2018 2:19:53 PM  ,  774000.000,                        11.248,                         3.398,
11/9/2018 3:19:53 PM  ,  777600.000,                        11.248,                         3.078,
11/9/2018 4:19:53 PM  ,  781200.000,                        11.248,                         3.078,
11/9/2018 5:19:53 PM  ,  784800.000,                        11.239,                         2.918,
11/9/2018 6:19:53 PM  ,  788400.000,                        11.235,                         2.757,
11/9/2018 7:19:53 PM  ,  792000.000,                        11.223,                         2.650,
11/9/2018 8:19:53 PM  ,  795600.000,                        11.216,                         2.650,
11/9/2018 9:19:53 PM  ,  799200.000,                        11.203,                         2.650,
11/9/2018 10:19:53 PM ,  802800.000,                        11.195,                         2.650,
11/9/2018 11:19:53 PM ,  806400.000,                        11.196,                         2.650,
11/10/2018 12:19:53 AM,  810000.000,                        11.168,                         2.811,
11/10/2018 1:19:53 AM ,  813600.000,                        11.167,                         2.757,
11/10/2018 2:19:53 AM ,  817200.000,                        11.148,                         2.757,
11/10/2018 3:19:53 AM ,  820800.000,                        11.136,                         2.811,
11/10/2018 4:19:53 AM ,  824400.000,                        11.136,                         2.704,
11/10/2018 5:19:53 AM ,  828000.000,                        11.127,                         2.650,
11/10/2018 6:19:53 AM ,  831600.000,                        11.135,                         2.704,
11/10/2018 7:19:53 AM ,  835200.000,                        11.136,                         2.704,
11/10/2018 8:19:53 AM ,  838800.000,                        11.133,                         2.704,
11/10/2018 9:19:53 AM ,  842400.000,                        11.146,                         2.811,
11/10/2018 10:19:53 AM,  846000.000,                        11.155,                         3.131,
11/10/2018 11:19:53 AM,  849600.000,                        11.155,                         3.398,
11/10/2018 12:19:53 PM,  853200.000,                        11.156,                         3.558,
11/10/2018 1:19:53 PM ,  856800.000,                        11.153,                         3.398,
11/10/2018 2:19:53 PM ,  860400.000,                        11.147,                         3.452,
11/10/2018 3:19:53 PM ,  864000.000,                        11.154,                         3.505,
11/10/2018 4:19:53 PM ,  867600.000,                        11.157,                         3.398,
11/10/2018 5:19:53 PM ,  871200.000,                        11.156,                         3.292,
11/10/2018 6:19:53 PM ,  874800.000,                        11.160,                         3.078,
11/10/2018 7:19:53 PM ,  878400.000,                        11.176,                         2.864,
11/10/2018 8:19:53 PM ,  882000.000,                        11.186,                         2.650,
11/10/2018 9:19:53 PM ,  885600.000,                        11.192,                         2.757,
11/10/2018 10:19:53 PM,  889200.000,                        11.197,                         2.757,
11/10/2018 11:19:53 PM,  892800.000,                        11.194,                         2.704,
11/11/2018 12:19:53 AM,  896400.000,                        11.193,                         2.650,
11/11/2018 1:19:53 AM ,  900000.000,                        11.190,                         2.543,
11/11/2018 2:19:53 AM ,  903600.000,                        11.194,                         2.275,
11/11/2018 3:19:53 AM ,  907200.000,                        11.201,                         2.328,
11/11/2018 4:19:53 AM ,  910800.000,                        11.201,                         2.328,
11/11/2018 5:19:53 AM ,  914400.000,                        11.201,                         2.328,
11/11/2018 6:19:53 AM ,  918000.000,                        11.209,                         2.328,
11/11/2018 7:19:53 AM ,  921600.000,                        11.209,                         2.221,
11/11/2018 8:19:53 AM ,  925200.000,                        11.219,                         2.114,
11/11/2018 9:19:53 AM ,  928800.000,                        11.227,                         2.275,
11/11/2018 10:19:53 AM,  932400.000,                        11.229,                         2.167,
11/11/2018 11:19:53 AM,  936000.000,                        11.233,                         2.275,
11/11/2018 12:19:53 PM,  939600.000,                        11.227,                         2.382,
11/11/2018 1:19:53 PM ,  943200.000,                        11.229,                         2.328,
11/11/2018 2:19:53 PM ,  946800.000,                        11.225,                         2.221,
11/11/2018 3:19:53 PM ,  950400.000,                        11.226,                         2.221,
11/11/2018 4:19:53 PM ,  954000.000,                        11.230,                         2.275,
11/11/2018 5:19:53 PM ,  957600.000,                        11.233,                         2.167,
11/11/2018 6:19:53 PM ,  961200.000,                        11.237,                         2.060,
11/11/2018 7:19:53 PM ,  964800.000,                        11.256,                         2.006,
11/11/2018 8:19:53 PM ,  968400.000,                        11.257,                         1.953,
11/11/2018 9:19:53 PM ,  972000.000,                        11.267,                         1.953,
11/11/2018 10:19:53 PM,  975600.000,                        11.276,                         1.845,
11/11/2018 11:19:53 PM,  979200.000,                        11.277,                         1.845,
11/12/2018 12:19:53 AM,  982800.000,                        11.285,                         1.738,
11/12/2018 1:19:53 AM ,  986400.000,                        11.292,                         1.738,
11/12/2018 2:19:53 AM ,  990000.000,                        11.294,                         1.684,
11/12/2018 3:19:53 AM ,  993600.000,                        11.301,                         1.684,
11/12/2018 4:19:53 AM ,  997200.000,                        11.307,                         1.468,
11/12/2018 5:19:53 AM , 1000800.000,                        11.304,                         1.468,
11/12/2018 6:19:53 AM , 1004400.000,                        11.315,                         1.361,
11/12/2018 7:19:53 AM , 1008000.000,                        11.318,                         1.361,
11/12/2018 8:19:53 AM , 1011600.000,                        11.323,                         1.415,
11/12/2018 9:19:53 AM , 1015200.000,                        11.330,                         1.145,
11/12/2018 10:19:53 AM, 1018800.000,                        11.323,                         1.307,
11/12/2018 11:19:53 AM, 1022400.000,                        11.322,                         1.791,
11/12/2018 12:19:53 PM, 1026000.000,                        11.311,                         1.899,
11/12/2018 1:19:53 PM , 1029600.000,                        11.305,                         2.167,
11/12/2018 2:19:53 PM , 1033200.000,                        11.297,                         2.167,
11/12/2018 3:19:53 PM , 1036800.000,                        11.293,                         1.845,
11/12/2018 4:19:53 PM , 1040400.000,                        11.290,                         1.791,
11/12/2018 5:19:53 PM , 1044000.000,                        11.293,                         1.630,
11/12/2018 6:19:53 PM , 1047600.000,                        11.300,                         1.576,
11/12/2018 7:19:53 PM , 1051200.000,                        11.300,                         1.576,
11/12/2018 8:19:53 PM , 1054800.000,                        11.314,                         1.468,
11/12/2018 9:19:53 PM , 1058400.000,                        11.310,                         1.361,
11/12/2018 10:19:53 PM, 1062000.000,                        11.309,                         1.468,
11/12/2018 11:19:53 PM, 1065600.000,                        11.325,                         1.307,
11/13/2018 12:19:53 AM, 1069200.000,                        11.331,                         1.684,
11/13/2018 1:19:53 AM , 1072800.000,                        11.327,                         1.845,
11/13/2018 2:19:53 AM , 1076400.000,                        11.325,                         1.845,
11/13/2018 3:19:53 AM , 1080000.000,                        11.329,                         2.006,
11/13/2018 4:19:53 AM , 1083600.000,                        11.323,                         2.060,
11/13/2018 5:19:53 AM , 1087200.000,                        11.319,                         2.167,
11/13/2018 6:19:53 AM , 1090800.000,                        11.326,                         2.060,
11/13/2018 7:19:53 AM , 1094400.000,                        11.330,                         2.275,
11/13/2018 8:19:53 AM , 1098000.000,                        11.333,                         2.328,
11/13/2018 9:19:53 AM , 1101600.000,                        11.355,                         2.596,
11/13/2018 10:19:53 AM, 1105200.000,                        11.360,                         2.757,
11/13/2018 11:19:53 AM, 1108800.000,                        11.361,                         3.131,
